Marca,Modelo,Ano,Motor,Transmision,Parte,Clima,Alto,Ancho,Observaciones
ACURA,TSX,2009,L4 2.4,Automática,19010RL5A51,Con clima,15 3/4,30 3/16,
ACURA,TSX,2010,L4 2.4,Automática,19010RL5A51,Con clima,15 3/4,30 3/16,
ACURA,TSX,2011,L4 2.4,Automática,19010RL5A51,Con clima,15 3/4,30 3/16,
ACURA,TSX,2012,L4 2.4,Automática,19010RL5A51,Con clima,15 3/4,30 3/16,
ACURA,TSX,2013,L4 2.4,Automática,19010RL5A51,Con clima,15 3/4,30 3/16,
ACURA,TSX,2014,L4 2.4,Automática,19010RL5A51,Con clima,15 3/4,30 3/16,
,,,,,,,,,
ACURA,ZDX,2010,V6 3.7,Automática,19010RYEA52,Con clima,19 11/16,30 3/16,
ACURA,ZDX,2011,V6 3.7,Automática,19010RYEA52,Con clima,19 11/16,30 3/16,
,,,,,,,,,
,,,,,,,,,
AUDI,A1,2011,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2012,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2013,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2014,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2015,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2016,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2017,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2018,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
